id,state,population,count
01,Alabama,4887871,7870
02,Alaska,737438,759
04,Arizona,7171646,15984
05,Arkansas,3013825,3961
06,California,39557991,75375
08,Colorado,5695564,16891
09,Connecticut,3572665,9592
10,Delaware,967171,1945
11,District of Columbia,702455,3175
12,Florida,21299325,40566
13,Georgia,10519475,19096
15,Hawaii,1420491,1717
16,Idaho,1754208,3019
17,Illinois,12741080,21894
18,Indiana,6691878,8788
19,Iowa,3156145,5887
20,Kansas,2911505,4839
21,Kentucky,4468402,8587
22,Louisiana,4659978,5830
23,Maine,1338404,2251
24,Maryland,6042718,17328
25,Massachusetts,6902149,14732
26,Michigan,9995915,16161
27,Minnesota,5611179,10489
28,Mississippi,2986530,3267
29,Missouri,6126452,7431
30,Montana,1062305,1944
31,Nebraska,1929268,3754
32,Nevada,3034392,6962
33,New Hampshire,1356458,2686
34,New Jersey,8908520,19386
35,New Mexico,2095428,3498
36,New York,19542209,32024
37,North Carolina,10383620,18672
38,North Dakota,760077,902
39,Ohio,11689442,22387
40,Oklahoma,3943079,6554
41,Oregon,4190713,9167
42,Pennsylvania,12807060,24083
44,Rhode Island,1057315,1737
45,South Carolina,5084127,8069
46,South Dakota,882235,1105
47,Tennessee,6770010,12493
48,Texas,28701845,46142
49,Utah,3161105,5595
50,Vermont,626299,918
51,Virginia,8517685,20920
53,Washington,7535591,17368
54,West Virginia,1805832,2798
55,Wisconsin,5813568,9685
56,Wyoming,577737,1062
